94,2,2,2,1,1,1,65,0,0,2,36,10,2,1.3,94
98,2,2,2,1,1,1,65,1,20,3,41,10,2,0.47,98
100,10,2,4,1,1,2,75,2,25,1,1,10,2,1,100
99,10,2,2,1.5,1,2,79,1,0,2,29,10,1,2.25,99
100,6,2,2,1,1,1,75,1,0,2,8,10,1,1.7,100
90,2,1,3,1,1,2,100,1,25,1,57,10,3,4,90
96,10,2,2,2,1,1,75,1,15,1,67,10,2,2.38,96
96,6,2,2,1,1,2,58,2,0,2,65,10,2,5.36,96
94,2,1,5,1,2,2,229,4,25,4,33,10,3,1.01,94
80,10,2,2,1,1,1,60,1,10,1,1,10,1,0.36,80
94,10,2,1,1,1,1,57,1,0,1,17,9,1,0.48,94
100,6,1,4,1,2,2,93,1,0,1,1,10,1,0.64,100
97,2,1,5,1,2,3,150,5,30,2,12,10,2,4.93,97
91,10,1,2,1.5,2,2,145,2,35,3,7,9,2,0.56,91
96,2,2,1,0,1,1,60,1,0,1,70,9,3,1.16,96
100,10,2,4,1,1,3,165,3,15,3,1,10,1,1,100
100,6,2,2,1,1,1,75,1,15,1,1,10,1,0.37,100
95,10,2,2,1,1,1,49,1,10,5,4,9,3,0.29,95
99,14,2,1,2.5,1,1,40,1,0,2,31,10,1,1.24,99
98,10,1,3,1,0,2,120,3,0,2,16,10,2,5.93,98
98,2,2,2,0,1,1,70,1,10,1,38,9,3,0.63,98
88,10,1,8,1,3,5,150,6,0,3,21,9,1,1.58,88
100,10,1,5,3.5,4,3,175,1,0,14,1,10,2,0.07,100
96,10,2,2,1.5,1,1,95,1,0,1,40,10,2,1.13,96
95,2,2,2,1,1,1,90,1,0,1,43,10,3,1.06,95
99,10,2,2,1,1,1,95,1,0,2,33,10,2,4.02,99
90,2,2,2,1,1,2,100,1,100,1,11,9,1,0.21,90
96,10,2,2,1,1,1,67,1,5,1,20,10,1,0.58,96
92,6,2,1,1,1,1,55,1,0,1,30,10,1,1.93,92
100,2,1,6,1,2,2,200,4,20,2,2,10,3,0.38,100
98,10,2,1,1,1,1,49,1,10,5,10,9,3,0.72,98
96,10,2,1,1.5,1,1,75,1,0,1,17,10,1,0.59,96
87,10,1,4,1,1,2,110,2,20,3,55,9,3,2.36,87
91,10,1,16,1,3,5,125,1,25,1,24,10,3,2.07,91
95,10,1,16,2.5,3,7,200,1,25,1,82,10,3,4.32,95
97,10,2,2,2,1,1,75,1,15,1,20,10,2,0.87,97
95,10,2,1,1,1,1,78,1,0,3,21,9,1,0.87,95
96,2,2,4,1,1,2,50,1,0,2,10,10,1,5.77,96
98,2,2,1,1,1,1,60,1,10,1,143,10,1,4.39,98
100,10,2,1,1.5,1,1,45,1,0,2,2,9,1,0.54,100
92,10,1,4,1,2,2,145,3,33,5,26,10,3,0.74,92
96,10,2,2,2,1,1,45,1,10,2,5,10,1,3.13,96
97,10,2,2,1.5,1,1,85,1,0,1,29,10,2,1.67,97
93,10,2,1,1,1,1,75,1,25,3,9,9,3,0.37,93
99,10,2,2,2,1,1,50,1,10,2,14,10,1,1.23,99
97,10,2,1,2.5,1,1,45,1,0,2,8,10,1,0.33,97
92,10,2,2,1,1,1,60,2,50,2,117,10,2,3.22,92
99,2,1,3,1,1,1,95,1,0,1,53,10,3,2.07,99
100,2,1,2,1,0,1,89,2,39,3,3,10,3,0.12,100
80,10,1,7,2,3,3,285,5,25,3,2,10,3,1.15,80
93,2,2,2,1,1,1,70,1,10,2,23,9,3,0.46,93
93,10,2,2,1,1,1,95,1,20,1,14,9,1,0.46,93
100,3,2,2,1,1,1,55,1,0,300,3,10,1,0.06,100
99,2,2,2,1,1,1,80,1,0,2,57,10,2,2.48,99
97,10,2,2,1,1,1,120,1,0,2,58,10,1,2.36,97
100,2,2,2,1,1,1,65,1,0,1,1,10,1,0.07,100
97,2,2,4,1,1,2,100,2,20,2,46,10,2,3.03,97
96,2,2,1,1,1,1,65,1,0,3,68,10,2,4.29,96
73,2,2,2,1,1,1,63,1,0,2,3,9,1,2.73,73
100,13,2,2,1,1,1,75,1,0,1,4,9,1,0.62,100
90,10,2,2,1,1,1,65,1,25,1,2,9,3,0.16,90
94,2,2,1,1,1,1,110,1,0,1,7,10,3,0.48,94
82,10,2,2,1,1,1,46,2,25,2,18,8,3,1.46,82
98,2,2,2,1.5,1,1,62,2,50,3,9,10,2,0.31,98
100,2,2,2,1,1,1,69,1,15,2,4,10,2,0.36,100
99,10,2,2,2,1,1,73,1,0,1,19,10,2,1.35,99
99,2,2,1,1,1,1,85,1,20,2,22,10,3,0.36,99
96,2,2,2,2,1,1,120,1,20,1,17,9,3,0.41,96
100,10,2,2,3.5,1,2,125,1,25,2,1,10,1,0.21,100
93,2,2,1,1,1,1,70,1,0,1,7,10,1,1.35,93
97,6,2,2,1,1,1,61,1,0,1,7,10,2,0.78,97
97,10,2,4,1,1,2,125,2,50,1,132,10,3,2.61,97
88,2,2,2,1,1,1,100,1,0,1,14,9,1,0.35,88
98,2,2,2,1,1,1,80,1,0,2,12,10,1,3.91,98
100,10,2,2,1,1,1,85,1,0,1,3,10,1,0.12,100
91,10,2,3,1,1,2,75,1,25,1,43,9,1,1.83,91
20,10,2,1,1,1,1,57,1,0,7,1,10,1,0.44,20
98,10,2,1,1,1,1,100,1,0,4,20,10,3,0.71,98
93,10,2,2,2.5,1,1,70,1,0,1,9,10,1,0.53,93
95,2,1,4,1,2,2,190,2,15,4,26,10,2,1.43,95
95,2,1,3,1,1,1,149,1,0,7,17,9,1,0.59,95
94,2,1,6,1,2,2,168,1,0,3,47,9,2,2.57,94
87,10,1,5,2,3,4,205,1,0,2,9,10,2,0.7,87
92,10,2,2,2.5,1,1,65,1,0,1,17,9,1,1.32,92
92,2,1,2,1,1,1,75,1,0,1,5,10,1,1.5,92
91,2,1,8,2,4,6,429,6,15,3,35,10,3,0.95,91
95,2,2,2,1,1,1,95,1,10,2,53,9,1,1.32,95
100,2,2,2,1,1,1,69,1,15,3,13,10,3,1.17,100
93,10,1,2,1,1,1,165,1,0,2,9,9,1,0.85,93
90,2,1,4,1,2,2,150,4,50,5,2,10,1,1.67,90
97,2,2,2,1,1,1,87,1,25,2,6,10,2,0.41,97
96,13,2,2,1,1,1,62,1,0,2,20,10,3,5.41,96
97,2,1,2,1,1,1,110,2,10,2,6,10,2,0.22,97
90,2,1,6,2,3,3,250,1,0,4,6,9,3,0.16,90
97,2,1,6,1,2,2,150,2,35,2,14,10,3,0.54,97
93,10,1,7,2,3,4,300,2,50,2,3,9,1,0.18,93
100,2,1,2,1,0,1,119,1,0,1,13,10,3,8.67,100
99,2,1,2,1,0,1,175,2,0,2,148,10,2,5.77,99
96,10,1,6,2,2,2,195,3,25,4,24,10,3,2.81,96
90,6,1,4,1,2,2,145,1,0,2,4,10,3,1.11,90
92,2,1,4,1,2,2,200,1,0,2,10,10,2,0.6,92
99,10,2,1,1,1,1,90,1,0,1,42,10,1,2.45,99
94,2,1,4,1,2,2,210,4,50,2,41,10,2,1.25,94
100,2,2,2,1,1,1,75,1,15,2,8,10,2,1.94,100
90,2,2,2,1,1,1,46,1,0,1,2,10,1,0.4,90
100,6,2,2,1,1,1,75,1,0,2,12,10,1,1.08,100
89,2,1,6,1,3,3,500,6,0,1,8,9,1,0.33,89
90,2,2,2,1,1,1,60,1,0,2,4,10,3,1.97,90
90,2,1,5,1,1,2,130,1,0,2,66,9,2,4.25,90
88,2,1,6,1.5,2,3,190,4,20,2,39,9,2,1.53,88
91,2,2,2,1,1,1,100,1,0,2,24,9,2,0.72,91
100,10,1,6,3,3,6,450,1,0,1,2,10,1,0.13,100
99,2,1,8,2,4,4,399,4,0,2,18,10,3,0.8,99
98,2,1,5,1,2,2,350,4,25,1,13,10,2,0.24,98
98,2,1,4,1,2,2,200,2,10,2,32,10,2,1.09,98
100,2,2,2,1,1,1,99,1,0,2,2,10,2,0.18,100
81,2,2,2,1,1,1,107,2,30,2,20,9,1,0.84,81
96,2,2,1,1,1,1,69,1,0,1,18,10,2,1.16,96
92,2,2,2,1,1,1,76,1,15,1,57,10,3,4.68,92
95,2,1,2,1,1,1,75,1,25,2,48,10,2,6.15,95
78,10,2,1,1,1,1,55,1,25,1,9,9,1,0.74,78
100,2,2,2,1,1,2,65,1,0,1,2,10,1,1.25,100
96,10,2,2,1,1,1,88,1,0,2,5,10,2,0.86,96
93,10,1,2,1,0,1,90,1,0,2,139,9,2,6.77,93
100,2,1,4,2,2,2,185,1,0,5,4,10,1,0.15,100
91,10,2,2,1,1,1,105,1,10,2,21,9,3,3.46,91
95,10,2,2,1,1,1,90,1,0,1,192,10,2,5.58,95
97,2,1,2,1,1,1,100,2,0,3,115,10,3,1.9,97
98,2,3,2,1,1,1,100,1,20,1,10,10,3,0.6,98
100,2,1,5,1.5,2,3,200,1,0,2,11,10,3,0.75,100
100,2,1,8,1.5,4,4,300,6,25,4,2,10,3,0.05,100
100,2,1,6,1,3,3,319,6,25,1,6,10,2,0.63,100
96,2,2,2,1,1,1,85,1,0,2,91,10,2,2.29,96
74,6,2,2,2,1,1,70,1,0,1,10,9,1,3.13,74
60,2,2,2,1,1,1,50,1,0,1,2,6,1,0.46,60
86,2,1,4,1,1,1,119,0,0,3,14,8,2,0.47,86
100,6,1,3,1,1,2,125,2,20,1,2,10,3,1.36,100
80,2,2,2,1,1,1,53,1,0,1,5,6,1,2.05,80
95,2,2,4,1,1,1,125,1,50,1,13,10,3,0.5,95
100,10,1,6,2.5,4,4,199,5,30,3,1,10,3,1,100
97,2,1,4,1,2,2,205,4,0,2,14,10,3,0.3,97
95,6,1,5,1,2,2,114,2,15,4,8,10,3,0.56,95
98,2,2,2,1,1,1,75,1,15,2,131,10,2,4.45,98
86,2,1,2,1,1,1,185,2,0,3,8,9,3,0.29,86
97,2,2,2,1,1,1,75,2,25,1,150,10,1,6.2,97
96,2,3,2,1,1,1,70,1,0,1,5,10,1,1.06,96
96,3,1,2,1,1,2,150,2,15,2,71,10,3,5.74,96
96,2,1,4,1,2,2,120,1,0,1,10,10,2,0.49,96
100,2,2,2,2,1,1,92,1,0,14,1,10,3,0.79,100
100,2,2,2,1,1,1,84,0,0,3,6,10,2,3,100
89,2,1,4,1,2,2,200,4,50,2,29,9,3,1.14,89
96,2,1,2,1,1,1,115,0,0,2,70,10,3,3.14,96
98,13,2,2,1,1,1,95,1,0,2,25,10,3,2.12,98
100,10,1,6,1,4,4,275,1,0,3,1,10,3,0.03,100
97,2,1,9,1,4,4,230,4,40,2,75,10,3,3.85,97
99,2,1,4,1,1,4,130,3,30,2,59,10,2,4.55,99
93,2,1,5,1,2,3,192,4,10,3,20,10,2,1.81,93
85,2,1,5,1,3,4,175,1,0,2,99,9,2,5.39,85
80,2,2,2,1,1,1,70,1,0,1,2,10,1,0.11,80
100,13,2,2,1.5,1,1,65,1,0,5,6,10,2,0.95,100
100,2,2,2,1,1,1,100,1,0,1,1,10,1,0.39,100
87,10,1,10,2.5,5,5,250,4,25,5,3,9,3,0.22,87
93,2,1,2,1,1,1,110,2,10,1,3,10,2,0.17,93
89,2,1,6,1,2,4,168,1,0,2,23,9,2,5.61,89
98,2,2,2,1,1,1,60,2,25,1,169,10,1,6.94,98
90,2,2,2,1,1,1,59,1,10,1,47,9,2,2.78,90
91,10,2,2,1,1,1,60,1,0,1,15,9,1,1.64,91
94,2,1,4,1,2,4,145,3,25,2,7,10,1,1.69,94
100,2,2,2,1,1,1,80,1,0,1,1,10,2,0.1,100
97,2,1,3,1,1,2,114,1,36,2,127,10,3,5.08,97
80,10,2,2,1,1,1,170,2,50,2,2,9,1,0.42,80
95,2,1,6,2,2,2,240,1,0,3,108,10,3,2.25,95
95,2,1,4,1,2,2,150,2,35,2,5,10,1,0.14,95
98,2,2,2,1,1,1,69,1,9,3,11,10,3,0.88,98
95,2,2,2,1,1,1,80,1,0,3,18,10,3,0.38,95
97,2,2,2,1,1,1,85,1,10,1,62,10,2,1.46,97
92,2,2,4,1,1,2,75,2,25,1,58,9,2,3.59,92
80,2,1,4,1,2,2,150,1,0,1,1,10,1,0.22,80
90,10,2,2,2,1,1,70,0,0,1,2,10,2,0.37,90
96,10,2,3,1,1,2,80,2,25,3,97,10,1,3.27,96
100,2,1,4,1,2,2,225,4,20,3,8,10,3,0.21,100
100,10,1,4,2,2,2,178,1,0,7,2,10,1,0.12,100
94,2,1,4,1,2,2,175,1,0,1,13,9,2,3.12,94
100,2,1,3,1,0,2,109,2,15,1,16,10,2,4.14,100
94,6,1,10,2,5,6,383,6,20,3,20,10,3,1.28,94
97,2,1,6,1,2,3,99,2,20,3,23,10,1,2.48,97
91,2,2,2,1,1,1,50,1,0,1,9,9,2,1.65,91
93,2,1,4,1,2,2,300,1,0,1,16,10,3,1.15,93
92,2,2,2,1,1,1,80,1,0,2,107,9,2,3.97,92
97,10,2,2,1,1,1,85,1,5,1,26,10,2,2.09,97
98,2,1,2,1,1,2,150,2,20,2,10,10,1,1.92,98
100,2,1,2,1,1,1,100,1,50,1,1,10,3,0.46,100
93,2,2,2,1,1,1,100,1,0,1,8,10,2,1.54,93
97,13,2,2,1.5,1,2,84,1,10,3,31,10,2,2.04,97
98,2,1,4,1,1,2,130,3,20,1,32,10,2,6.36,98
95,2,2,2,1,1,1,76,1,0,2,84,10,2,9.55,95
100,2,2,2,1,1,1,100,1,0,1,1,10,2,1,100
100,10,2,2,2,1,1,70,2,20,2,7,10,1,1.78,100
96,6,1,2,1,1,1,125,2,0,2,18,10,3,0.62,96
94,2,2,2,1,1,1,70,1,10,1,6,10,1,0.21,94
98,10,1,3,1,2,1,170,2,50,2,9,10,2,3.75,98
100,10,2,2,1,1,1,95,1,20,4,55,10,2,0.75,100
100,3,2,2,1,1,2,70,1,0,4,10,9,1,1.99,100
100,2,1,4,2,2,2,250,1,0,1,1,10,2,1,100
95,2,2,2,1,1,1,115,1,0,2,49,10,2,1.73,95
92,10,2,3,1,1,2,70,1,10,2,145,10,2,2.62,92
93,10,1,3,1,1,2,135,2,10,2,68,10,2,2.35,93
100,6,2,2,1,1,1,120,1,20,1,5,10,3,0.39,100
100,11,1,4,1.5,1,1,130,1,50,1,12,10,2,0.82,100
88,2,2,3,1,1,1,29,2,35,2,5,9,3,2.21,88
91,2,2,2,1,1,1,68,1,0,1,9,10,1,3.29,91
97,2,1,6,1,3,5,300,4,50,1,9,10,3,1.45,97
95,10,2,1,2,1,1,50,1,20,2,22,10,2,6.11,95
90,6,1,2,1,1,1,119,1,0,7,2,10,3,1.3,90
75,2,2,2,1,1,1,46,2,50,2,31,8,2,1.84,75
79,2,1,5,1,2,3,130,2,10,1,19,9,3,1.11,79
100,6,1,6,2,2,2,180,2,20,3,7,10,3,0.49,100
92,2,1,2,1,1,1,136,2,0,4,26,10,3,1.95,92
96,2,1,2,1,1,1,100,1,0,2,5,10,3,2.54,96
100,10,2,5,1,1,2,88,1,34,2,48,10,3,2.13,100
93,10,2,3,1,1,2,95,1,0,2,15,9,1,2.54,93
80,10,1,2,1.5,1,1,135,1,0,5,1,8,3,0.04,80
98,10,1,2,1,1,1,135,1,0,2,104,10,2,4.46,98
97,3,2,2,1,1,1,75,2,20,2,63,10,1,2.62,97
96,10,1,5,1,2,4,189,3,25,1,25,9,3,4.57,96
98,10,2,2,1,1,1,75,0,0,2,41,10,1,2.62,98
97,2,2,2,1,1,1,55,1,45,2,15,10,2,1.14,97
86,2,2,2,1,1,1,125,1,0,1,10,10,2,0.4,86
96,6,2,1,1,1,1,88,0,0,28,184,10,2,7.55,96
80,2,2,1,1,1,1,72,1,0,7,1,8,1,0.08,80
60,2,3,1,1,1,1,22,1,0,1,1,8,1,1,60
90,10,2,2,1,1,1,90,2,10,2,12,10,2,2.52,90
95,2,2,2,1,1,1,82,2,0,2,42,10,1,1.03,95
94,10,2,2,1,1,1,84,1,20,3,10,10,2,2.17,94
94,2,1,4,1,2,2,160,4,15,1,22,10,1,1.05,94
100,2,1,4,1.5,2,2,110,1,0,7,1,10,3,0.13,100
98,2,1,4,1,2,2,150,1,0,2,29,10,2,1.23,98
100,6,2,2,1,1,1,80,2,20,2,1,10,3,1,100
100,2,1,5,1,2,3,225,4,25,3,5,10,3,0.42,100
96,2,2,2,1.5,1,1,65,1,10,3,60,10,2,1.53,96
93,10,1,8,1,3,4,275,6,25,3,57,10,3,1.42,93
100,10,1,8,2.5,3,3,300,2,25,3,5,10,3,0.25,100
100,10,1,5,1.5,3,3,185,1,0,3,4,10,2,0.26,100
94,2,1,4,1,1,1,175,2,25,3,7,10,2,1.47,94
97,2,2,2,1,1,2,75,2,25,1,173,10,1,7.09,97
87,2,2,2,1,1,1,60,1,10,2,88,9,3,1.88,87
